claim_id,match_id,canonical_signal,signal_type,team,minute_bucket,sources,agreement_count,conflict_count,final_confidence,evidence_grade,single_source_penalty,use_for_weighting,use_for_prediction,available_before_kickoff,evidence_usage,evidence_partition,exclusion_reason,eligible_for_prematch_summary,source_url,source_type,source_authority,tactical_specificity,evidence_snippet,conflict_note
48e3b2240ab02b7a,WC2026-L22,WC2026-L22|England|low_block_success|unknown,low_block_success,England,unknown,world_soccer_talk_previews,1,0,0.5415,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://worldsoccertalk.com/news/england-vs-croatia-2026-world-cup-preview/,world_soccer_talk_previews,0.72,0.45,flank overload vs cagey midfield control,
611e6fd9d39e6213,WC2026-L22,WC2026-L22|Croatia|transition_threat|unknown,transition_threat,Croatia,unknown,fifa_training_centre,1,0,0.572,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://www.fifa.com/en/tournaments/mens/worldcup/canada-usa-mexico-2026/articles/england-croatia-tactical-brief,fifa_training_centre,0.8,0.4,Croatia low chaos cagey first half,
16a138bc6f6c0e94,WC2026-L22,WC2026-L22|England|pressing_success|unknown,pressing_success,England,unknown,statsbomb_open_data,1,0,0.586,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://github.com/statsbomb/open-data,statsbomb_open_data,0.78,0.5,pressing success in build-up phase,
bffd2e927832c558,WC2026-L22,WC2026-L22|England|pressing_success|16-30,pressing_success,England,16-30,espn_match_commentary,1,0,0.7205,C,,false,false,false,post_match_review,excluded_non_prematch,usage_non_prematch,false,https://www.espn.com/soccer/story/_/id/england-croatia-r1,espn_match_commentary,0.75,0.3,pressing success in midfield,
80f0171189c0ab03,WC2026-J43,WC2026-J43|Argentina|pressing_success|unknown,pressing_success,Argentina,unknown,fifa_training_centre,1,0,0.582,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://www.fifa.com/en/tournaments/mens/worldcup/canada-usa-mexico-2026/articles/argentina-austria-preview,fifa_training_centre,0.8,0.45,Argentina favorite early break if Austria steps out,
ad2d1ffebede95b7,WC2026-J43,WC2026-J43|Austria|pressing_success|unknown,pressing_success,Austria,unknown,world_soccer_talk_previews,1,0,0.5315,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://worldsoccertalk.com/news/austria-rangnick-press-argentina/,world_soccer_talk_previews,0.72,0.4,Austria pressing success if Argentina slow at back,
75f46203e6e73ef3,WC2026-J43,WC2026-J43|Argentina|general_observation|unknown,general_observation,Argentina,unknown,the_guardian_match_report,1,0,0.524,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://www.theguardian.com/football/2026/jun/21/argentina-tactical-lock-note,the_guardian_match_report,0.7,0.4,tactical mutual lock in midfield,
c9c86db7916f2777,WC2026-J43,WC2026-J43|Argentina|general_observation|61-75,general_observation,Argentina,61-75,espn_match_commentary,1,0,0.7075,C,,false,false,false,post_match_review,excluded_non_prematch,usage_non_prematch,false,https://www.espn.com/soccer/story/_/id/arg-aut-r1-review,espn_match_commentary,0.75,0.25,late chase opening pattern,
1a3b8c605045b2a7,WC2026-D32,WC2026-D32||general_observation|unknown,general_observation,,unknown,fifa_match_centre,1,0,0.5575,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021462,official_match,0.85,0.2,both 3 pts Group D,
b5791fe3dbcad6e4,WC2026-D32,WC2026-D32|Australia|injury_or_forced_substitution|unknown,injury_or_forced_substitution,Australia,unknown,socceroos_preview,1,0,0.571,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://socceroos.com.au/match/usa-v-australia-fifa-world-cuptm-2026-20-06-2026/22278774,official_match,0.82,0.35,full squad fit Pulisic doubt,
688dd7f8c7e7894b,WC2026-D32,WC2026-D32|USA|pressing_success|unknown,pressing_success,USA,unknown,fotmob_r1_usa,1,1,0.624,C,,false,false,true,pre_match_prediction,prematch_summary_only,conflict_without_agreement,true,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,xg_event_data,0.88,0.45,high-press-possession 65% xG 1.42,conflict:tactical_mutual_lock_vs_strong_side_attack
a51588f9ca0c3954,WC2026-D32,WC2026-D32|Australia|transition_threat|unknown,transition_threat,Australia,unknown,fotmob_r1_australia,1,0,0.624,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://www.fotmob.com/en-GB/matches/turkiye-vs-australia/1gr3uk,xg_event_data,0.88,0.45,low-block-counter 28% poss,
aafe5071218c0b3b,WC2026-D32,WC2026-D32|Australia|low_block_success|unknown,low_block_success,Australia,unknown,opta_analyst_australia,1,0,0.592,B,0.65,true,true,true,pre_match_prediction,eligible_prematch,,true,https://theanalyst.com/articles/australia-vs-turkiye-stats-world-cup-2026,professional_media,0.8,0.5,low-block-counter absorbed press,
